1. Economic Policy Uncertainty,2. Monetary policy,Fiscal Policy (Taxes OR Spending),3. Taxes,4. Government spending,5. Health care,6. National security,7. Entitlement programs,8. Regulation,Financial Regulation,9. Trade policy,"10. Sovereign debt, currency crises"
213.6788345,270.469228,292.6145565,295.7907864,394.0997467,107.8482413,179.6998542,258.3462209,129.6328202,113.2471769,122.6139605,0
155.426022,219.8356774,164.2355359,139.1255958,225.0327805,36.73303048,124.8594979,82.4929969,55.19105225,0,41.76222343,128.3889975
121.1373749,119.0345221,108.8288149,115.7143422,102.0263396,31.64294377,63.26926409,113.6991412,85.57783585,149.5215225,107.9257282,110.5981666
104.9823533,122.0447601,104.7373306,85.76021737,138.080529,38.0666355,85.62743203,51.29275973,60.05452106,44.96880362,194.7528675,0
115.7367778,107.5735803,134.8399665,132.1777695,167.5689089,54.70593062,109.3831218,98.28442915,65.75614014,129.2502066,124.3916588,95.60386789
139.7924312,156.6430159,197.6899021,190.0223946,182.4372291,26.94379383,161.6202987,108.9159726,89.06218435,42.43891998,153.1636137,0
120.505154,173.4075841,134.1492929,122.2601401,201.2226093,26.00339831,155.9794076,116.7939714,39.06987515,0,59.12715155,181.773744
122.6838344,111.3308224,118.8755398,122.8273742,217.7066716,56.26716915,106.0759342,151.6340149,57.97091808,37.98252716,109.6642633,168.5696266
91.71113419,113.5899203,81.79870379,67.47986933,126.9281841,24.60382663,83.63103723,11.05078109,51.75384357,77.50651866,279.7238593,85.99510014
86.3386193,69.60723764,108.0751552,89.54259661,103.6225108,7.141775121,42.83939505,67.36212574,64.38272236,33.74683143,121.7935483,74.88562765
115.8834294,70.24557924,96.54843807,83.16289587,99.34415386,34.23453076,114.9978087,36.90336248,117.2765392,32.35349529,93.41195781,287.1750264
126.4221323,112.5638516,150.9389532,137.0244445,225.5225312,6.857318781,119.2860054,55.4392265,98.90938178,64.80539561,70.16551255,0
149.4584826,119.5476003,160.3035913,155.8956345,269.410886,85.2616314,146.6114851,91.90839833,143.4774257,53.71792221,116.321967,119.2023117
157.8690929,190.2599355,242.3669175,196.1823901,382.6820771,55.63447281,144.6116339,99.95264388,150.4625428,204.468466,42.16766678,64.81772304
101.7271997,104.9775322,118.5400565,103.3921938,166.6958526,64.62482523,116.2941301,36.28270957,135.9375168,101.7899634,165.3136645,0
105.7670166,120.6130851,112.836502,117.8331717,121.6510496,21.8721429,118.0785476,36.83943156,73.94107629,25.8379572,111.9001585,0
126.261048,148.3625322,108.6813144,100.7280954,124.33797,32.13565087,122.083397,14.43369149,111.0521194,126.5414147,127.8739257,112.3202726
152.2630178,162.7707632,164.654039,157.0409624,156.1570499,50.10134978,110.194017,45.00592995,105.3875667,105.2188957,151.8955364,291.8564021
143.2923284,183.8203275,174.4377191,172.8021228,197.3076648,22.05187606,72.75207604,37.14215761,89.45841973,26.05027923,112.8196921,115.6133141
138.3224872,132.9928988,194.7101284,211.4518317,148.4199988,37.03699859,92.039214,49.90537894,62.00750582,50.00282851,54.13861082,110.9583637
169.4778257,166.7552342,221.7418052,227.1385816,204.3877605,81.26898882,110.4967927,73.00375008,87.91627272,102.404825,73.91655138,170.430436
118.8804977,73.60328101,154.8506248,147.3301654,229.7219359,39.58170851,139.488873,120.0020394,93.66708598,46.75858671,151.8781039,0
93.86038102,58.41298952,103.2493056,109.5114225,120.1600356,56.93571918,93.14306795,90.66654166,97.98838181,244.5788827,52.96164774,54.27307503
89.36405282,79.13561045,122.0315665,122.9021399,134.3001569,92.56111555,70.94488178,34.64476756,78.80761089,72.89607768,70.15589579,107.8396262
113.3133179,124.159436,150.1653649,159.9141573,188.2155345,75.93376091,93.94334634,89.52710397,81.28898376,112.127403,80.93437927,49.76307754
75.62146615,37.38391783,70.18030286,68.52908968,56.39451346,43.72616978,67.02918233,39.27912008,96.35733355,68.87268482,82.8546791,101.887575
84.34975068,58.16113425,101.9860627,100.8069416,101.235496,56.69023335,41.85256055,52.88335192,114.0055662,103.0295322,118.9879514,91.45073307
86.86082378,93.71384914,93.48074131,90.78250677,103.4411202,35.64636743,90.8743605,78.05131371,72.30377338,42.10969726,136.7778931,93.44317601
97.97026833,98.87145938,79.8484575,77.23420658,80.50705178,39.42449603,89.33871804,53.12240432,78.97994046,82.79621114,74.70363821,45.93206218
109.3113113,137.0815894,80.8153219,70.40356524,93.5906549,41.46665659,113.3124228,55.87410668,128.7601191,130.6274931,172.8611125,144.93393
74.65576785,59.49972745,60.57695823,62.27759657,66.4864659,38.6633156,64.42193303,17.36558477,61.96404107,40.59882007,73.26131292,45.04523823
61.51616048,24.43654141,56.59825525,45.8131048,79.59077036,30.31450398,62.34488475,23.34124356,58.56077976,81.85387594,29.54136306,0
75.5653055,64.6669565,65.03483969,57.6246259,105.680916,42.02101514,80.65915659,62.28318277,71.97527058,59.5682204,71.66129502,132.1843676
212.3425446,353.2999684,243.6799374,186.1034842,459.4493591,43.54039937,175.6987214,133.3371918,189.1205656,523.7024258,256.5083057,249.025188
204.1146235,289.5949953,253.1292573,160.5692087,513.71596,87.81767834,160.5387174,135.2338683,162.1042039,414.9624341,85.57797683,306.9396544
153.9771964,216.7240752,160.9747737,123.338734,284.4640501,41.42021601,124.2280082,100.4607549,123.2223437,254.4383338,84.76405368,304.0203835
197.5180972,268.1961693,250.9353072,214.0201753,324.5699265,156.0677382,93.6160461,168.2343583,214.558708,313.4215814,133.0764641,368.2035383
104.343343,142.5189588,99.768736,91.24676817,146.2269784,61.28587061,63.72056342,66.06355186,66.29866316,57.91848413,125.4179559,42.84117799
85.1810487,46.63768438,73.79405494,71.24360421,87.94254562,47.27654119,78.53115814,49.00201239,118.0233695,154.6577486,99.22941664,76.26488891
84.86827929,77.70900561,77.51570891,70.93531189,71.47917714,29.55853155,68.70553408,44.80711169,86.60229101,104.7540805,100.8163483,116.2268388
93.41527944,61.19577408,78.32861285,79.31848809,62.94221928,32.53534191,110.5911057,48.71070758,58.66087492,85.41019259,73.97964178,0
84.38802188,64.50129922,69.9559451,62.3070097,89.43172504,33.28414672,90.95277066,39.8654323,63.34490434,34.95036737,75.68229213,0
87.10117894,59.13433468,79.29432452,68.4785864,107.9099098,59.49813827,95.91554699,50.10660369,60.34191162,52.7146685,25.36655543,272.9441164
101.878628,110.9630582,58.27703107,59.32740674,52.30948931,50.47316931,80.01500238,24.28925068,32.5009238,17.03567598,110.6682793,37.80287613
84.65760515,69.61300727,74.19760232,65.44039824,87.51070655,55.67383578,70.96549506,60.95173696,106.6530412,32.88425356,94.9443786,36.48576567
103.5883436,103.5281234,77.7886256,72.25786504,100.9749523,52.19476905,108.5366026,56.26373253,122.3385964,197.3075929,59.34085966,72.97229749
