Australia,Belgium,Brazil,Canada,Chile,China,Colombia,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Pakistan,Russia,Singapore,S Korea,Spain,Sweden,UK,US,Vietnam
36.74884366,24.00537714,39.06882017,47.47626725,10.78255476,12.27750313,79.69391198,29.09062199,20.4391055,34.27925915,24.99729276,10.64079953,32.02961289,73.43843916,23.76710105,20.96486141,24.88481911,29.48955603,21.87943437,35.09230866,29.82144653,61.94202982,41.05069773,70.88342158,23.40895384
55.85943359,24.37410747,46.07621127,26.5673178,26.87945509,13.49576552,80.19199893,47.66023636,35.55669392,43.79543201,18.07326486,22.84363977,17.7735591,30.24226331,18.43160423,37.45272739,54.5312447,15.01578843,38.1983944,38.4104885,41.23914665,79.95215687,34.48527686,56.40489593,20.86363956
29.8895042,38.57149633,22.66796856,26.46180992,15.32185266,21.5068864,57.43870172,28.30106499,23.8735329,16.82482203,24.9003344,12.43386243,11.9158065,72.49381115,20.93482381,41.57010158,17.65223451,27.9100571,47.26968236,23.02452692,58.21125141,0,21.42389473,25.25297546,17.91925874
29.74212206,38.72164047,21.95831381,36.94837648,20.74446976,11.81584946,62.64584514,44.49481581,26.29739341,31.94181626,25.5029283,13.42730379,19.21708192,45.79899835,35.19643957,14.47880927,18.76571342,28.49548074,29.014155,28.6504451,39.21451733,75.82040506,41.67448797,33.65454607,18.55014459
50.89292056,13.61878996,26.98474839,23.31766915,20.99377759,15.68367517,84.20340671,63.32036792,22.42741342,33.40527849,20.67757516,4.320987654,23.2457978,20.31806737,27.32378942,36.6243596,20.80368997,24.5247343,49.30093138,25.65775704,35.65173016,79.81119848,41.09715984,51.56077062,21.82598845
46.42025564,22.35538313,17.35831123,21.13483225,17.47802267,12.08702143,0,67.32984312,38.65458557,32.48623204,38.80281631,14.46208113,34.25862363,49.05168276,20.30995017,12.65792248,22.5449154,24.27348654,42.37235041,67.61682883,23.84690076,51.34777021,29.71434663,72.63384351,44.01817698
72.24309933,26.37482184,17.48895365,56.2081624,60.72095096,58.29097709,53.82371804,42.52997028,28.89266382,36.24583418,69.95596645,17.30299022,15.27786712,61.68579791,26.19420076,34.10280655,15.65589693,24.69448709,68.25747816,41.16981634,37.95483614,79.95164299,44.23208277,23.64338903,50.18894105
46.87929656,27.28550969,28.23747498,18.5611708,36.36930001,5.080897637,53.17008817,35.5439378,16.94489812,35.23976465,24.18760169,33.5978836,20.03537245,33.39040099,30.66961511,19.72290005,11.54728914,16.11512332,27.72695929,40.15466844,37.28366156,33.95729402,44.11024537,36.0437152,5.915015525
37.67802652,15.26624831,21.95132549,14.64093859,22.50156378,9.075757802,46.17592706,43.73218774,19.14914979,23.88941846,37.92200102,7.877718989,13.12811112,30.78812362,15.36370086,24.62897913,12.73153865,50.26162636,44.58745746,66.33586805,54.03456443,46.77601928,34.49521685,21.01638644,40.84306764
33.38376814,19.34768278,25.20775605,21.24649996,24.85610539,15.26938856,32.78689693,27.10194543,53.55514577,34.31663073,37.5855807,12.72478899,38.01085661,43.17507934,23.22691841,20.84304293,33.07121395,28.63996043,44.72661139,30.98092156,46.27042419,61.86271008,36.59168034,36.07347079,70.91513305
37.93642108,20.33285079,27.08037339,43.14522244,19.69787148,7.97750519,31.94140126,19.70728198,55.76843256,35.23605438,12.23783118,47.35449735,33.71791419,28.96316129,26.54219734,26.66522409,50.1308202,14.90005326,22.18508223,68.18234317,39.56022977,63.62756358,28.15827364,43.96576074,56.44401527
26.79229692,22.31479557,27.58369512,65.58717467,13.63633747,16.90190498,45.42129983,23.14912855,19.3899128,12.92672023,19.96852573,25.92592593,32.59530682,39.21700437,14.70673207,13.70128753,45.22248102,48.0735884,55.41508117,52.98050815,21.92782028,40.86576401,15.80496448,35.27979424,19.28402604
19.06530954,19.39304142,31.22376499,26.98262126,24.05226859,20.73910779,31.73207234,18.26505423,27.46228922,34.72989808,21.70765921,7.556797085,35.34186442,37.38090263,23.21957497,15.98237947,37.03248051,43.85560217,37.65741129,37.92429412,28.95049127,47.07227331,25.00796285,20.21259087,30.29992688
21.30156493,11.86955829,34.07865291,42.67010224,24.01868589,18.18088938,39.85742591,13.92925476,18.19295959,34.93222685,12.86389946,13.40388007,39.31311545,13.91529583,18.28474776,21.01636126,10.25889481,31.65636341,19.35505398,77.89268803,29.36494275,38.47571997,45.34793958,18.59980956,27.02517216
16.40661124,16.2327594,57.1807046,42.80530565,10.03213962,21.3620615,29.92306511,17.11909635,35.35313082,16.72389292,21.4842665,21.34038801,30.37596272,33.20791164,23.88432046,17.79487364,9.676331741,26.77997745,18.94680627,77.32160317,23.54948931,36.79885769,20.77842887,17.47187673,22.9141553
18.51712103,13.69494614,58.37386048,12.72333418,26.30023421,14.06875327,39.71476797,13.69385677,30.70111022,40.5007263,33.52912554,11.36586322,31.07811363,20.84492368,16.96772962,20.86049873,22.87738704,20.30118924,26.77025167,28.13641824,23.81712033,48.08228503,42.76299016,19.85915489,21.03245779
15.44445803,16.48524093,41.66286996,42.80692814,37.29720394,12.22731222,30.16822114,23.74042918,18.03751873,44.72746131,18.90375729,73.80952381,49.17552702,19.61513088,30.7681727,26.36669071,31.89644586,19.01540745,17.27525443,54.62643909,19.37416081,45.88890249,51.23988725,21.47687976,20.62271028
15.93071419,13.41123157,35.26977396,19.52230952,12.0591676,24.16158491,31.8623942,26.60379166,20.7232421,24.67381113,29.3132091,24.33862434,37.74468816,19.87436814,31.15901177,15.51213508,34.98567909,47.33632648,33.21133434,36.96999247,20.72083975,29.95694916,18.33072517,23.477636,8.965103645
10.96636408,12.61998044,35.26977396,23.15885117,17.1767012,15.03154674,31.71650738,14.49999861,19.58011869,35.09586413,37.08379922,2.679419346,64.86237565,34.07455468,30.79569101,11.29469716,22.51570291,29.59453192,24.80818893,28.67330966,22.99602808,35.99942544,30.07433781,37.72501592,14.54536001
13.00779328,14.08783816,24.1000035,40.12434193,19.42617662,12.63106676,41.63818047,17.30083643,21.99675995,28.72415583,20.12872866,38.5361552,45.94047068,14.35233173,44.91445731,23.10039844,27.41751571,32.72307462,20.28944257,45.19866756,27.28279199,44.43098521,27.47005213,17.42981573,35.23309697
12.27376258,17.98379718,34.57774489,25.21187722,15.64310512,17.36562635,36.41576961,26.83514024,14.0960647,16.24133897,49.54011031,4.761904762,16.76462634,18.23364193,24.03094387,17.94318436,20.99173626,67.86213863,22.14543653,19.48591435,29.58954056,40.46381673,17.75574267,19.09750766,19.2998554
23.43197539,16.95466552,35.71398431,52.77085159,12.23518817,30.90843845,33.24979972,20.59306632,37.63602681,29.41970434,45.33817647,4.697196094,24.26554876,23.31033019,35.89481599,31.21145755,16.45788079,58.29432079,28.18741852,18.52969264,32.72093973,47.11831552,30.14216873,27.73693304,34.61897434
26.29123792,23.35698108,30.34719867,73.91123021,11.86361877,12.47016572,33.97032488,22.64324303,38.97225752,67.63795383,25.6552402,17.81856261,61.23972683,20.79334106,36.96980832,23.02944625,22.37637301,32.05519354,20.33587769,50.55312206,57.17852898,27.89623519,28.62406761,30.4050095,37.42176381
11.51600966,23.35698108,19.94259568,27.58985796,20.11943755,32.76861601,40.31532964,23.40749419,28.91749239,15.49935553,47.33678033,12.55419606,34.31466585,37.20216888,21.7621533,10.83710111,21.49839341,34.42072245,14.35897941,49.61842823,32.81715708,35.55740146,16.60141946,18.65920596,17.13905931
22.27236706,29.79840262,24.36733354,30.56054922,9.899153357,13.34959416,60.36680348,23.21576961,52.04858465,22.65048616,26.15080551,2.683502738,26.78121776,41.88335829,23.59482525,14.43199543,19.24230438,29.00792787,29.61471719,26.7671497,19.60836773,28.20968498,36.77837175,42.31281403,28.95028222
23.60161281,20.57942213,32.76085922,27.9795708,10.01437124,14.95825332,57.96947429,41.64767697,31.61228375,24.79677585,20.68734477,1.469723692,51.11623979,15.70998836,24.58981251,17.79942075,25.34431718,24.75369173,13.28166621,41.6183915,21.77161629,33.43420528,35.42170885,20.25748105,26.28932876
