AGO,ARE,ARG,AUS,AUT,AZE,BEL,BGD,BOL,BRA,CAN,CHE,CHL,CHN,COL,CRI,CZE,DEU,DOM,DZA,ECU,EGY,ESP,FRA,GBR,GHA,GRC,GTM,HKG,HUN,IDN,IND,IRL,IRN,IRQ,ISR,ITA,JPN,KAZ,KEN,KOR,LBN,MAR,MEX,MYS,NGA,NIC,NLD,OMN,PAK,PAN,PER,PHL,POL,QAT,ROU,RUS,SAU,SGP,SWE,THA,TUN,TUR,TWN,TZA,UGA,UKR,USA,VEN,VNM,ZAF
0.000,0.000,0.102,0.236,0.000,0.000,0.000,0.000,0.112,0.490,0.000,0.124,0.000,0.000,0.222,0.000,0.000,0.000,0.221,0.000,0.244,0.102,0.111,0.431,0.222,0.123,0.000,0.119,0.000,0.300,0.208,0.000,0.000,0.000,0.118,0.000,0.099,0.102,0.108,0.675,0.577,0.598,0.000,0.103,0.000,0.000,0.514,0.000,0.125,0.000,0.000,0.000,0.111,0.000,0.000,0.106,0.439,0.314,0.000,0.580,0.196,0.000,0.260,0.226,0.250,0.115,0.471,0.289,0.125,0.000,0.501
0.000,0.113,0.205,0.000,0.000,0.000,0.119,0.117,0.342,0.098,0.000,0.120,0.000,0.000,0.224,0.000,0.000,0.000,0.116,0.000,0.705,0.000,0.234,0.338,0.206,0.119,0.000,0.126,0.000,0.400,0.286,0.105,0.125,0.110,0.238,0.000,0.102,0.493,0.000,0.574,0.303,0.589,0.000,0.304,0.000,0.111,0.126,0.000,0.123,0.000,0.000,0.000,0.115,0.097,0.000,0.196,0.269,0.220,0.110,0.245,0.291,0.000,0.263,0.216,0.110,0.114,0.487,0.193,0.255,0.000,0.887
0.000,0.114,0.102,0.114,0.000,0.000,0.000,0.240,0.113,0.102,0.231,0.000,0.000,0.000,0.306,0.000,0.090,0.000,0.226,0.000,0.366,0.000,0.116,0.308,0.210,0.127,0.000,0.000,0.000,0.679,0.392,0.000,0.000,0.213,0.000,0.000,0.000,0.293,0.397,0.336,0.300,0.468,0.000,0.000,0.099,0.546,0.380,0.000,0.126,0.382,0.000,0.000,0.217,0.000,0.000,0.095,0.300,0.207,0.113,0.365,0.000,0.000,0.265,0.111,0.123,0.227,0.456,0.096,0.245,0.111,0.978
0.117,0.113,0.541,0.350,0.000,0.000,0.000,0.247,0.229,0.297,0.000,0.119,0.000,0.000,0.324,0.000,0.000,0.000,0.000,0.000,0.344,0.000,0.000,0.316,0.107,0.119,0.000,0.130,0.000,0.419,0.306,0.000,0.000,0.000,0.000,0.000,0.101,0.593,0.108,0.345,0.300,0.611,0.000,0.293,0.107,0.107,0.375,0.000,0.126,0.114,0.137,0.000,0.114,0.000,0.000,0.093,0.281,0.211,0.000,0.128,0.296,0.000,0.521,0.000,0.117,0.000,0.484,0.097,0.255,0.000,0.781
0.000,0.112,0.199,0.114,0.125,0.000,0.000,0.000,0.334,0.000,0.111,0.118,0.098,0.000,0.110,0.000,0.276,0.111,0.000,0.223,0.116,0.000,0.215,0.217,0.405,0.121,0.115,0.000,0.116,0.105,0.204,0.000,0.369,0.000,0.122,0.000,0.103,0.696,0.106,0.235,0.203,0.522,0.000,0.101,0.103,0.107,0.130,0.119,0.125,0.116,0.546,0.000,0.113,0.000,0.000,0.099,0.276,0.312,0.000,0.000,0.307,0.000,0.420,0.115,0.121,0.114,0.471,0.099,0.255,0.000,0.692
0.000,0.107,0.542,0.355,0.124,0.000,0.122,0.122,0.223,0.102,0.000,0.236,0.000,0.000,0.213,0.116,0.104,0.231,0.120,0.000,0.111,0.000,0.111,0.110,0.211,0.256,0.000,0.000,0.115,0.104,0.393,0.000,0.122,0.000,0.000,0.093,0.099,0.388,0.000,0.229,0.325,0.237,0.000,0.000,0.103,0.107,0.136,0.116,0.120,0.116,0.136,0.000,0.220,0.097,0.000,0.086,0.282,0.101,0.214,0.120,0.405,0.111,0.597,0.111,0.115,0.000,0.387,0.201,0.232,0.213,0.701
0.121,0.116,0.319,0.227,0.000,0.111,0.000,0.000,0.225,0.000,0.110,0.116,0.000,0.000,0.106,0.000,0.102,0.117,0.000,0.113,0.339,0.000,0.108,0.111,0.000,0.126,0.000,0.117,0.223,0.107,0.401,0.105,0.000,0.000,0.000,0.000,0.100,0.105,0.000,0.348,0.197,0.112,0.000,0.105,0.107,0.104,0.136,0.000,0.124,0.112,0.128,0.000,0.107,0.098,0.000,0.089,0.346,0.106,0.104,0.348,0.194,0.000,0.437,0.000,0.122,0.116,0.387,0.102,0.116,0.000,0.580
0.113,0.115,0.495,0.340,0.000,0.000,0.000,0.000,0.672,0.402,0.110,0.000,0.095,0.000,0.000,0.000,0.085,0.124,0.000,0.000,0.576,0.104,0.113,0.110,0.103,0.238,0.000,0.000,0.113,0.103,0.397,0.104,0.131,0.106,0.000,0.000,0.000,0.305,0.209,0.461,0.199,0.115,0.000,0.101,0.000,0.108,0.263,0.000,0.124,0.114,0.132,0.000,0.110,0.000,0.000,0.172,0.255,0.218,0.114,0.119,0.097,0.000,0.704,0.000,0.113,0.244,0.082,0.100,0.248,0.414,0.289
0.000,0.111,0.302,0.233,0.000,0.103,0.000,0.000,0.441,0.096,0.000,0.000,0.000,0.000,0.000,0.117,0.442,0.000,0.109,0.000,0.870,0.000,0.328,0.108,0.000,0.126,0.000,0.000,0.228,0.190,0.211,0.000,0.000,0.000,0.000,0.000,0.000,0.297,0.000,0.117,0.397,0.219,0.000,0.000,0.490,0.111,0.250,0.000,0.253,0.115,0.000,0.111,0.220,0.397,0.000,0.092,0.310,0.423,0.110,0.117,0.100,0.000,0.258,0.000,0.115,0.119,0.098,0.204,0.113,0.231,0.483
0.000,0.342,0.294,0.105,0.116,0.433,0.000,0.243,0.349,0.000,0.110,0.000,0.000,0.000,0.101,0.000,0.186,0.235,0.000,0.116,0.224,0.000,0.329,0.107,0.280,0.127,0.000,0.000,0.321,0.105,0.197,0.106,0.239,0.223,0.113,0.093,0.099,0.207,0.000,0.328,0.306,0.227,0.100,0.000,0.532,0.215,0.378,0.349,0.387,0.000,0.000,0.116,0.218,0.099,0.000,0.177,0.260,0.107,0.112,0.118,0.205,0.000,0.342,0.113,0.245,0.120,0.347,0.199,0.117,0.219,0.835
